date;median
1996-01-02;0.232547351862392
1996-01-03;0.232486226522482
1996-01-04;0.235792921962942
1996-01-05;0.236021071270474
1996-01-08;0.236095744008095
1996-01-09;0.248508308037691
1996-01-10;0.260044747992158
1996-01-11;0.262443426294821
1996-01-12;0.260209821033327
1996-01-15;0.259991277746158
1996-01-16;0.263408972048315
1996-01-17;0.263310698475938
1996-01-18;0.261906018782015
1996-01-19;0.261376365964713
1996-01-22;0.261737349016632
1996-01-23;0.261773148675141
1996-01-24;0.26535405520774
1996-01-25;0.266325572313919
1996-01-26;0.267115934674002
1996-01-29;0.266208972048315
1996-01-30;0.268481772908367
1996-01-31;0.270574064061215
1996-02-01;0.270547783469297
1996-02-02;0.266151558843989
1996-02-05;0.266747731297034
1996-02-06;0.267965597925757
1996-02-07;0.268225553342187
1996-02-08;0.26999578827547
1996-02-09;0.269938232783153
1996-02-12;0.270652644975653
1996-02-13;0.271029380889142
1996-02-14;0.27174539303105
1996-02-15;0.272332131790299
1996-02-16;0.271441818440524
1996-02-20;0.276632800543856
1996-02-21;0.279865844558275
1996-02-22;0.287948713084171
1996-02-23;0.287940011383039
1996-02-26;0.28984733289066
1996-02-27;0.288971635679504
1996-02-28;0.288636481059887
1996-02-29;0.290358608423449
1996-03-01;0.290442623158161
1996-03-04;0.29289863245431
1996-03-05;0.291287813824069
1996-03-06;0.292195312401189
1996-03-07;0.292203471826978
1996-03-08;0.3241347166888
1996-03-11;0.326859261367229
1996-03-12;0.327341167077721
1996-03-13;0.327497780307342
1996-03-14;0.327028727945361
1996-03-15;0.326946997723392
1996-03-18;0.334469088724467
1996-03-19;0.334258374438753
1996-03-20;0.334815182128628
1996-03-21;0.33495389236704
1996-03-22;0.332223605577689
1996-03-25;0.332239883323847
1996-03-26;0.332367988364004
1996-03-27;0.332837012268387
1996-03-28;0.332730732625055
1996-03-29;0.332572242774932
1996-04-01;0.336133426611016
1996-04-02;0.335625199203187
1996-04-03;0.335630220388288
1996-04-04;0.335634149117815
1996-04-08;0.347921512363245
1996-04-09;0.348003457598179
1996-04-10;0.354215182128628
1996-04-11;0.355501365964713
1996-04-12;0.357473931259091
1996-04-15;0.3580781303358
1996-04-16;0.357994017580472
1996-04-17;0.35872674856131
1996-04-18;0.359284436855752
1996-04-19;0.358647282299374
1996-04-22;0.357982014797951
1996-04-23;0.358892131474104
1996-04-24;0.35892265224815
1996-04-25;0.359389317333839
1996-04-26;0.359384234490609
1996-04-29;0.359188553721621
1996-04-30;0.359203280528679
1996-05-01;0.356394629418833
1996-05-02;0.367716764687283
1996-05-03;0.367731744450768
1996-05-06;0.366720677607032
1996-05-07;0.367669593056346
1996-05-08;0.368773267248466
1996-05-09;0.368798790552077
1996-05-10;0.372762415417694
1996-05-13;0.37829346740024
1996-05-14;0.379880642509328
1996-05-15;0.379570914753684
1996-05-16;0.37185129323974
1996-05-17;0.372546213558465
1996-05-20;0.371763915765509
1996-05-21;0.369603693163853
1996-05-22;0.370618989122874
1996-05-23;0.371049723328907
1996-05-24;0.367777820464175
1996-05-28;0.371264782141276
1996-05-29;0.366193227091634
1996-05-30;0.366884405236198
1996-05-31;0.36714171883893
1996-06-03;0.366506766584456
1996-06-04;0.36785297381901
1996-06-05;0.36869290299121
1996-06-06;0.371531467779675
1996-06-07;0.369207202934295
1996-06-10;0.368716903813318
1996-06-11;0.366126933535698
1996-06-12;0.36623462183014
1996-06-13;0.366717352810978
1996-06-14;0.367355663062038
1996-06-17;0.364852948523367
1996-06-18;0.36774859134889
1996-06-19;0.36784509422627
1996-06-20;0.363784304053627
1996-06-21;0.364324168405742
1996-06-24;0.360016366280908
1996-06-25;0.359576392841333
1996-06-26;0.362505153987226
1996-06-27;0.363577365142604
1996-06-28;0.365124391323595
1996-07-01;0.366679637007525
1996-07-02;0.367158331752356
1996-07-03;0.363483796559793
1996-07-05;0.380168068993866
1996-07-08;0.383457939669892
1996-07-09;0.383115480933409
1996-07-10;0.379032345222285
1996-07-11;0.393677118510087
1996-07-12;0.39353509138051
1996-07-15;0.422662244672105
1996-07-16;0.421095091064314
1996-07-17;0.417326269525074
1996-07-18;0.42575906374502
1996-07-19;0.428552754063113
1996-07-22;0.430807455890723
1996-07-23;0.437615708594195
1996-07-24;0.437789469107696
1996-07-25;0.439104774552583
1996-07-26;0.44172140011383
1996-07-29;0.444347680705748
1996-07-30;0.44396687535572
1996-07-31;0.445636381458294
1996-08-01;0.454842224751786
1996-08-02;0.467724188958452
1996-08-05;0.468046536077911
1996-08-06;0.46831421457029
1996-08-07;0.468762149813445
1996-08-08;0.468544607285145
1996-08-09;0.468370902105862
1996-08-12;0.467435532473281
1996-08-13;0.470164137102384
1996-08-14;0.469987149813445
1996-08-15;0.469980876494024
1996-08-16;0.470493789919686
1996-08-19;0.470200498007968
1996-08-20;0.470313809840005
1996-08-21;0.469981766584456
1996-08-22;0.472510845506861
1996-08-23;0.472717030291532
1996-08-26;0.472933110415481
1996-08-27;0.473436425725669
1996-08-28;0.473142330677291
1996-08-29;0.476835755391134
1996-08-30;0.478454138999557
1996-09-03;0.475144961424145
1996-09-04;0.474785632074875
1996-09-05;0.478905172958958
1996-09-06;0.481633763359261
1996-09-09;0.485000569151964
1996-09-10;0.484824971542402
1996-09-11;0.484883986277114
1996-09-12;0.485019098210333
1996-09-13;0.491019065009802
1996-09-16;0.491627184911149
1996-09-17;0.491484289824828
1996-09-18;0.491065545753494
1996-09-19;0.489372508379182
1996-09-20;0.489641641371024
1996-09-23;0.489661196483906
1996-09-24;0.489571142414469
