date;median
1996-01-02;0.279311660077274
1996-01-03;0.249874954998322
1996-01-04;0.276803506720687
1996-01-05;0.265218447295062
1996-01-08;0.250829653857667
1996-01-09;0.295675317112094
1996-01-10;0.732624182862535
1996-01-11;0.569716141606333
1996-01-12;0.498310197593816
1996-01-15;0.505581753608329
1996-01-16;0.549194938970854
1996-01-17;0.464352146204142
1996-01-18;0.437030743542054
1996-01-19;0.428765170710457
1996-01-22;0.392996883557098
1996-01-23;0.236813981110906
1996-01-24;0.455395940447715
1996-01-25;0.388634495598365
1996-01-26;0.381170454500472
1996-01-29;0.342483597179022
1996-01-30;0.408454763417768
1996-01-31;0.401460828975192
1996-02-01;0.345080434418984
1996-02-02;0.343228988587812
1996-02-05;0.373860842895422
1996-02-06;0.361779553102988
1996-02-07;0.315636676947514
1996-02-08;0.367094192152276
1996-02-09;0.295497814070069
1996-02-12;0.307642458832035
1996-02-13;0.285646558685553
1996-02-14;0.317071344986713
1996-02-15;0.292368475984734
1996-02-16;0.30151870659001
1996-02-20;0.483388514774031
1996-02-21;0.445036434915726
1996-02-22;0.685844261261002
1996-02-23;0.378916773042946
1996-02-26;0.597541216816823
1996-02-27;0.491758957973449
1996-02-28;0.444209214401552
1996-02-29;0.471376044677182
1996-03-01;0.399607726293324
1996-03-04;0.471626705851878
1996-03-05;0.431845590129605
1996-03-06;0.405723122544068
1996-03-07;0.265623352911964
1996-03-08;1.31504908051902
1996-03-11;0.905011869834925
1996-03-12;0.822146856424612
1996-03-13;0.809487940996419
1996-03-14;0.76761415328731
1996-03-15;0.719520332649728
1996-03-18;0.809966764262926
1996-03-19;0.746058377875255
1996-03-20;0.714664932019197
1996-03-21;0.662948460050718
1996-03-22;0.660602347053106
1996-03-25;0.626675630019204
1996-03-26;0.601308863813677
1996-03-27;0.576507241471383
1996-03-28;0.561491786904251
1996-03-29;0.553254639107754
1996-04-01;0.575196810559299
1996-04-02;0.549308719846976
1996-04-03;0.53449747641767
1996-04-04;0.518011170312165
1996-04-08;0.639844055707013
1996-04-09;0.574101494761737
1996-04-10;0.640056525064969
1996-04-11;0.612808096810649
1996-04-12;0.615941142731387
1996-04-15;0.602000557338405
1996-04-16;0.588737567493002
1996-04-17;0.586321857603852
1996-04-18;0.573857429007463
1996-04-19;0.559790108907242
1996-04-22;0.557478053892784
1996-04-23;0.551513154060922
1996-04-24;0.528496519390877
1996-04-25;0.526744355728788
1996-04-26;0.429769643764128
1996-04-29;0.498916195499861
1996-04-30;0.390739714310996
1996-05-01;0.375947649363299
1996-05-02;0.597366537361944
1996-05-03;0.519979598544469
1996-05-06;0.515218773140152
1996-05-07;0.511275144678708
1996-05-08;0.506536316157199
1996-05-09;0.489453145174938
1996-05-10;0.523103165150011
1996-05-13;0.556223942718883
1996-05-14;0.530604792782999
1996-05-15;0.510974469458714
1996-05-16;0.506684816322684
1996-05-17;0.503020291164317
1996-05-20;0.499072775582351
1996-05-21;0.445351174208832
1996-05-22;0.376906254093672
1996-05-23;0.365659302508715
1996-05-24;0.353716913702279
1996-05-28;0.439249773430241
1996-05-29;0.498395467128018
1996-05-30;0.481478636016294
1996-05-31;0.46860339718786
1996-06-03;0.361467976529967
1996-06-04;0.384975922771543
1996-06-05;0.39046686622654
1996-06-06;0.426996459790738
1996-06-07;0.365660285548127
1996-06-10;0.356879683553004
1996-06-11;0.353515069449943
1996-06-12;0.351918869151474
1996-06-13;0.36379347781114
1996-06-14;0.379264079594394
1996-06-17;0.357217536611888
1996-06-18;0.426314237198326
1996-06-19;0.357199451800358
1996-06-20;0.363528823247982
1996-06-21;0.377052612833569
1996-06-24;0.3281534109449
1996-06-25;0.323693848296314
1996-06-26;0.379436381787999
1996-06-27;0.348295681667727
1996-06-28;0.360355582066342
1996-07-01;0.365725165148378
1996-07-02;0.34153870026316
1996-07-03;0.340742330196785
1996-07-05;0.808550947176518
1996-07-08;0.430098811599357
1996-07-09;0.372396085683037
1996-07-10;0.36850877036419
1996-07-11;0.710527956448536
1996-07-12;0.541514196742531
1996-07-15;1.37658855919935
1996-07-16;1.05522864131714
1996-07-17;1.19872074862982
1996-07-18;1.35765292777001
1996-07-19;1.27124370123799
1996-07-22;1.24314900582337
1996-07-23;1.38859944048661
1996-07-24;1.22931489219814
1996-07-25;1.19312738500772
1996-07-26;1.14990655311112
1996-07-29;1.21271203821101
1996-07-30;1.15561948946536
1996-07-31;1.11083814166364
1996-08-01;1.20043759294396
1996-08-02;1.34899287304054
1996-08-05;1.29274756343453
1996-08-06;1.20570544727888
1996-08-07;0.898791642615608
1996-08-08;0.792016180999328
1996-08-09;0.698948786029879
1996-08-12;0.648615947650852
1996-08-13;0.65790173337231
1996-08-14;0.567938328792186
1996-08-15;0.491722682406819
1996-08-16;0.460436664017771
1996-08-19;0.411081802811052
1996-08-20;0.390618939453348
1996-08-21;0.368108602093192
1996-08-22;0.478407623396913
1996-08-23;0.412582597629011
1996-08-26;0.408703238593829
1996-08-27;0.395753817402763
1996-08-28;0.366195307587759
1996-08-29;0.543843426520264
1996-08-30;0.479359543303225
1996-09-03;0.412579158371471
1996-09-04;0.39333197123654
1996-09-05;0.556646118697035
1996-09-06;0.56430552791036
1996-09-09;0.582298236815209
1996-09-10;0.478883310376537
1996-09-11;0.468036726493471
1996-09-12;0.480384084274148
1996-09-13;0.652140176514554
1996-09-16;0.515003893058917
1996-09-17;0.474304143883022
1996-09-18;0.452483770585402
1996-09-19;0.428574386890773
1996-09-20;0.438953433033481
1996-09-23;0.414477564558359
1996-09-24;0.394780921165736
